symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
MPLX-USD,2023-11-22,42.94766449026399,45.577352015553636,46.400400109617415,45.5642993320872,44.907477215871175,46.48102234448805,47.94217139248945,42.94766449026399,45.577352015553636,46.400400109617415,45.5642993320872,44.907477215871175,46.48102234448805
MPLX-USD,2023-11-28,47.94217139248945,49.29895265134788,49.894240896851166,50.44700855338993,51.418374031817734,52.68888155133322,53.72937065488774,47.94217139248945,49.29895265134788,49.894240896851166,50.44700855338993,51.418374031817734,52.68888155133322
MPLX-USD,2023-12-05,54.94032080205044,56.37998329443822,58.09596793053817,58.64198697489339,59.14900465893753,58.29211615559506,59.534204502870935,54.94032080205044,56.37998329443822,58.09596793053817,58.64198697489339,59.14900465893753,58.29211615559506
MPLX-USD,2023-12-16,60.052493109228394,60.23214994830669,59.99566661186051,59.367996325010424,58.785159630078205,58.87314936483521,59.63079080355356,60.052493109228394,60.23214994830669,59.99566661186051,59.367996325010424,58.785159630078205,58.87314936483521
MPLX-USD,2024-01-04,57.26949106471336,56.43963595022078,54.4002466779317,51.90931850533576,50.06099022873241,49.06030670953588,48.288242750761704,57.26949106471336,56.43963595022078,54.4002466779317,51.90931850533576,50.06099022873241,49.06030670953588
MPLX-USD,2024-03-10,34.16067967571996,36.80688112820999,39.26406819123645,40.62401475733584,41.88682228299957,40.497360882541265,38.842161756442906,34.16067967571996,36.80688112820999,39.26406819123645,40.62401475733584,41.88682228299957,40.497360882541265
MPLX-USD,2024-03-22,34.78986660976072,34.18846997955476,33.22525838353372,32.689977965178464,32.19293186242002,31.73138905271574,33.88764749853508,34.78986660976072,34.18846997955476,33.22525838353372,32.689977965178464,32.19293186242002,31.73138905271574
MPLX-USD,2024-04-02,43.39645363283977,43.993172656124266,45.04550827778887,46.02267706933457,46.93004809005557,48.59956690532806,50.245540043681515,43.39645363283977,43.993172656124266,45.04550827778887,46.02267706933457,46.93004809005557,48.59956690532806
MPLX-USD,2024-06-10,8.969549746245285,9.502734362842613,9.997834363968703,10.864977237137342,10.838469390742388,12.952539804353876,15.122315837827468,8.969549746245285,9.502734362842613,9.997834363968703,10.864977237137342,10.838469390742388,12.952539804353876
MPLX-USD,2024-09-19,18.93124211663585,20.284903419184957,20.48736722610941,20.67536933253926,22.56537221331225,24.320374888315744,26.779685332057017,18.93124211663585,20.284903419184957,20.48736722610941,20.67536933253926,22.56537221331225,24.320374888315744
MSOL-USD,2022-12-31,37.47767491860378,39.72320035496367,41.80833111729785,43.401284246428226,44.88045500919215,43.84209858028215,40.93132581148603,37.47767491860378,39.72320035496367,41.80833111729785,43.401284246428226,44.88045500919215,43.84209858028215
MSOL-USD,2023-01-11,31.70717674020719,32.6751512800897,33.57398478140918,33.97735746098435,34.572769597990124,35.85089402550985,38.45008489121026,31.70717674020719,32.6751512800897,33.57398478140918,33.97735746098435,34.572769597990124,35.85089402550985
MSOL-USD,2023-04-27,25.440919111212303,29.738402396712235,33.728922590390745,37.434405627377934,40.89487456841317,44.11584515693147,47.720368571702814,25.440919111212303,29.738402396712235,33.728922590390745,37.434405627377934,40.89487456841317,44.11584515693147
MSOL-USD,2023-05-02,44.11584515693147,47.720368571702814,50.96278356232434,53.911552660230726,56.70200354456362,59.29313650858701,61.94782808441001,44.11584515693147,47.720368571702814,50.96278356232434,53.911552660230726,56.70200354456362,59.29313650858701
MSOL-USD,2023-05-15,75.63451408663624,77.10097521988617,78.45163146776595,79.70670590469174,80.79341532112939,81.8025026363929,82.87778268356932,75.63451408663624,77.10097521988617,78.45163146776595,79.70670590469174,80.79341532112939,81.8025026363929
MSOL-USD,2023-05-20,81.8025026363929,82.87778268356932,83.89602673776703,84.78847734485502,85.614040389552,86.46487297735621,87.26121894818077,81.8025026363929,82.87778268356932,83.89602673776703,84.78847734485502,85.614040389552,86.46487297735621
