symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2021-06-26,,-0.0012661751467195,-0.0011036675909779,-0.0010391336924429,-0.0010064066343327,-0.0009882914427936,-0.0009188205168121,-0.0008726087482707,-0.0008309775122276
A-USD,2021-07-13,1.0,-0.000855341570048,-0.0008183219170747,-0.0007935830843804,-0.0007847770390179,-0.0008091392879327,-0.0007975887174039,-0.0007924054174862,-0.0007921110007626
A-USD,2021-07-13,1.0,-0.000855341570048,-0.0008183219170747,-0.0007935830843804,-0.0007847770390179,-0.0008091392879327,-0.0007975887174039,-0.0007924054174862,-0.0007921110007626
A-USD,2021-07-13,2.0,-0.000855341570048,-0.0008183219170747,-0.0007935830843804,-0.0007847770390179,-0.0008091392879327,-0.0007975887174039,-0.0007924054174862,-0.0007921110007626
A-USD,2021-07-13,3.0,-0.000855341570048,-0.0008183219170747,-0.0007935830843804,-0.0007847770390179,-0.0008091392879327,-0.0007975887174039,-0.0007924054174862,-0.0007921110007626
A-USD,2021-07-25,9.0,-0.000525903382105,-0.0004134948385976,-0.0004782316171849,-0.0005609286753934,-0.0005746200684494,-0.0005867992400355,-0.000630125340395,-0.0006680987711975
A-USD,2021-07-25,9.0,-0.000525903382105,-0.0004134948385976,-0.0004782316171849,-0.0005609286753934,-0.0005746200684494,-0.0005867992400355,-0.000630125340395,-0.0006680987711975
A-USD,2021-07-25,9.0,-0.000525903382105,-0.0004134948385976,-0.0004782316171849,-0.0005609286753934,-0.0005746200684494,-0.0005867992400355,-0.000630125340395,-0.0006680987711975
A-USD,2021-07-25,8.0,-0.000525903382105,-0.0004134948385976,-0.0004782316171849,-0.0005609286753934,-0.0005746200684494,-0.0005867992400355,-0.000630125340395,-0.0006680987711975
A-USD,2021-07-29,9.0,-0.0001029737679635,-0.0001921769752702,-0.0002878628598732,-0.0004015293985641,-0.0003646705061495,-0.000430094690696,-0.0004895741195525,-0.0005400019344723
